English,Noongar
snake (spiritual water),"maadjit, wakarl"
"snake, black (any but wakarl)",noorn
snapper,yolka
some day,benang-benang
some future time,mila
sometime,benang-benang
son,ngank
song,"doodjarak, yewoo!"
soon,"beodawan, boortja"
sore,bookarl
sore knee,bookarl boonid]
sorrowful,winyan
sorry,"nyorn, wedjit, winyan"
sorry (look),ayo
sorry (looking),"winyan, wedjit"
soul (persons),"kadjan, koordvomit"
sound (of anything in the,bush) moorna
south,"boongurl, kongal"
south west tribe,bibolman
speak truely,karnarn ‘
speaking well,kooba wangkiny
spear,"ketj, kitj"
spear (throwing a),koordidjiny
species of banksia flower,doobarda ;
spiders,kar
spirit (soul),noyt -
spirit of the dead,"wem, wim"
spirit snake,walkoo
spiritman,"balyat, balyit"
spit,"daaly, dely"
spitting,"dilyininy, djiditj p"
spotted goanna,djorlkoori
spouse,koort
spring time,dirdong
square of bark used in play,djarbal .
squeaker (bird),djarabam
squirt,"birbin, birn"
squirting water,kep birbininy
stand (to),yoogoo
stand aside,moonany
Stand clear,"kooranyak, moonany ee"
stand friendly,kanidjoogoo -
standing up,yaakiny
star,"djinda, djindang"
star (s),"diyim, djoornt, yabini,"
stare,woondoon
steadfastly,met
Steady steady,dabakarn
steady up,nyoongka
stick,boomoo
stick (from tree),boom
stick for pinning coat (skewer),bimt
stink,noort
stinks really bad,noardoowoorliny
stomach,"kaboorl, koboor!"
stomach ache,boolyaka
stone (to gambie for money),boya warbiny
stone (white quartz ),boya
stone axe,"kotj, kwetj"
stop,Nganop
stopped behind,bangal
stranger,wam
stray animal,barna
strong,moordjitj
strong (becoming),moordidjabiny
stuck on (backside),mookamoorl
stuck up,moolyarn
"stump (old, dry)",yinar
sulking,movlyoobiny
sun,"Ngaangk, ngangk"
sun (rising),ngangk yira
sunbeams,baa mandood
sundown,ngangk ngarda
sunrise,ngangk barloonginy
sunsetuing,ngangk wirdiny
swallow (to),nganow
swamp country,moyuoy
swan,maali
sweat,kibilyang
"sweet (sugar, honcy)",nyoonyoung
sweetheart,"koorda mart, kouda mrt"
swiftly (to hurry up),kert-kert
swimming,ujabooly-djabooly
\* swing,wily wily
laboo on meat,baranga
tail bone,nirnt
take it easy,dabakarn
talking,wangkiny
tea leaf,mangk
tea leaves,maangk
tear drops,miyaldjan
teeth,neorlak
tell lies,"koolyoomilj, kwilya"
tell off (to be),djauat
telling the truth,karni-wanukiny
test or try,djonany kariny
testicles,yort
that one,aliny
that particular thing,noolone
that way (pointing),marlap
that's enough,"alidja, Kenyak, Kendak"
that's enough for now,kenyak yey
theirs,baalabiny
them,"balang, baloony"
there (distant one),"ali, alidja"
there after,mila
they,balany
thicket,maalak
thigh bone,yatj
thin,kusdidi
thin one,koboor! djoorls
drink,"kuoditj, Kadity"
thinking,"kaadaniny, kadadjiny"
thinking about,"kadiny, kart darabiny"
third finger ',kardang
third son,kardang
this one,nidja
this side,yoorl boorli
three or more,"mo, moo -"
throat,wort i
throwing,koordidjiny
throwing stick,"boom wordiny, dowak,"
thumb,ngangka d
thunder,koondarnangor
thunder storm,malkar
tiger snake,nornt
tobacco,"boolkoo, ngamari c"
toenails,"ngamari, biri"
told off,djaat
tomorrow,benang
tongue {bad},"djaawara, daa wara"
tongue of fire,daaliny
too,kidji
tooth,ngorlak
lorivise (long necked),booyi
totem,baranga
touch it,bal
touching it,"bakiny, baliny"
tack,djooroot
track (to pursue it),"balang, balunginy"
trap door spider,kar /
trap door spider path,kar mart ‘
tree (white gum),wamt
tree to make shields from,kardil
troublesome,karradjool!
TRUE,"boonda, kami, karnitj,"
truly,boondo -
trustworthy,kamany
truth,karnany
turn back,korl-koorliny j
turn or twist,korung
two,koodjul
two feet,"djen koodal, djen-djen"
two or more white people,wadjalang
tying,"yoodiny, yoodininy"
tying,yootininy
type of bush tucker,koorak
type of water rat,wanip-wanip
umbilicus cord,bily
unable to,weyar
uncle,kongk
under arm,Ngaly
understanding,kadjininy
uneven ground,boudjera dardoan
uninitiated adolescent youth,kourlong mundi
unknowing,aalap
unknown,muaaloop
unmarricd girl,buongamn
unpalatable,djool
unused,kata-kata
up,yira
upset (becoming),warubiny
urinating,koumbininy
urine,koomp
useless,mookiyang
vagina,"beyirni, djapi, deri"
very sick,menditj
wading bird,"dilabert, kil-kil"
wait,"kwidi, yalakitj"
walk,"barn, yaberu"
walk slowly,dabakarn koorliny
walking,koorliny
wallaby,kwoka
wallaby (brush tail),"kwer, kwoor"
wanting sex with woman,ubudong
wart,djort
water,"hubi, kep"
water pit,moyy
water rushes,baat
water snake,"mitad jit, madjit"
water standing in a pool,kap wart
water standing in rock hole,angina
wattle bird,dongkarak
wave of the hand,marouk donwariny
way,mart
we,ingitlak
weak,wis
went (away),wort koorl
3 west,"yirel, muuriwar"
wet,balyan
what,"nadja, nat}"
what (is this)?,nidja
what are you thinking,kaat darabiny
why,"naaj, nadjil"
what did it?,ngal
what's his name,nginang
what?,"nadja, nayidja, nual), wa"
when man and woman meet,koomaminy
where river meets sky,moombaki -
where?,"naal), nadja, nayidja"
whirlwind,"mono, wily-wily"
whiskey (fire water),wadjan kep
whistle,"horngan, wirn"
whistle to,wardily
whistling,winyininy
white ashes,yoort
white clay,djardak
white gum,wornt
white haired,djendalaki
white man,"nyidiyang, wedjela"
white man (ghost),moondoong
who,Ngiyan
whooping cough,koolboo!
whose,Nginap
why,"naatj, nadjil"
wild,"maalkakoom, malkakoom"
wild berries (sweet when ripe),kalbiri
wild berry (hard),nodjam
wild carrot,kwerdiny
wild cat,djoodit)
wild fig (pigface),bayiny
wild potato,"djok, djol, djoobak"
willy wag tail,djidi-djidi
wind cloud,marr
wind blowing dust,keniny
wine,"kawoon, keba nganiny"
wing,yanginy
winter,morka
wishing intercourse,"mardang, mardong"
witch doctor,"kabap, mabarn"
with the hands,maarakool
without shame,koorndany
without water,kep boort
woe,"warday, werelo-werelo"
woman,"yok, yoka"
womb,doomboo
wrist,kwoliny
yes,kaya
yoke of an egg,nadjing
york gum,djaawit
york nut (very oily),marda
you,"nguyoo, noonook"
you (all),noonookatiny
you did,ngoonookiny
you don't say,kirni
you two,nyoodjoowarl
young child,kooniny
youngster,"koonyak, mawil"
yours,"nyinak, nyoonak"
youth,koorlongka
